dtime,time,open,high,low,close,vwap,volume,count
2020-05-22,1590105600,9057.5,9261.2,8925.0,9169.0,9118.2,5948.22846448,22655
2020-05-23,1590192000,9169.9,9316.0,9072.5,9178.6,9203.0,3223.80644681,13935
2020-05-24,1590278400,9175.4,9300.0,8645.0,8715.1,8989.2,6806.68899898,23096
2020-05-25,1590364800,8712.8,8975.0,8644.0,8898.1,8814.9,6019.25989883,19673
2020-05-26,1590451200,8898.0,9012.0,8686.6,8841.7,8843.9,5236.66556594,16902
2020-05-27,1590537600,8840.7,9226.0,8810.6,9213.9,9073.0,6834.04990446,22199
2020-05-28,1590624000,9208.0,9625.0,9109.4,9577.9,9379.6,8108.3575897,24586
2020-05-29,1590710400,9578.0,9608.6,9312.0,9425.0,9448.3,6002.56934043,17515
2020-05-30,1590796800,9424.9,9745.0,9330.0,9698.6,9541.5,5071.76497567,18928
2020-05-31,1590883200,9699.9,9700.0,9380.0,9447.4,9539.4,3643.43597021,12212
2020-06-01,1590969600,9447.9,10370.0,9414.6,10206.2,9851.6,9866.95115835,30372
2020-06-02,1591056000,10210.1,10235.0,9300.0,9525.4,9789.4,14963.95762982,39767
2020-06-03,1591142400,9516.0,9690.0,9310.9,9664.1,9544.5,4383.39531009,14044
2020-06-04,1591228800,9670.0,9884.7,9465.0,9791.4,9709.4,6818.32814269,18652
2020-06-05,1591315200,9792.1,9855.0,9537.9,9617.7,9719.6,5121.00668816,15855
2020-06-06,1591401600,9617.6,9731.2,9527.4,9672.0,9635.6,2681.15313308,10113
2020-06-07,1591488000,9668.7,9812.4,9386.6,9757.7,9599.6,4869.61667609,15720
2020-06-08,1591574400,9755.7,9800.0,9626.8,9780.9,9723.3,3571.19983983,12171
2020-06-09,1591660800,9782.0,9900.4,9560.3,9778.0,9736.4,5905.61392668,17299
2020-06-10,1591747200,9778.0,10000.0,9680.0,9892.4,9828.2,5841.62377546,16682
2020-06-11,1591833600,9892.2,9990.0,9090.5,9265.8,9501.4,12247.96471877,32843
2020-06-12,1591920000,9265.8,9545.0,9234.0,9460.0,9422.9,4753.441604,18475
2020-06-13,1592006400,9459.9,9492.8,9353.8,9471.0,9421.0,1910.81428241,7882
2020-06-14,1592092800,9472.9,9475.0,9230.6,9330.4,9361.6,2680.38680179,9347
2020-06-15,1592179200,9328.4,9499.9,8905.0,9425.3,9216.4,9823.89428294,31566
2020-06-16,1592265600,9425.3,9593.0,9385.0,9528.5,9494.5,5563.38048246,19545
2020-06-17,1592352000,9527.5,9556.8,9233.4,9453.1,9410.7,5393.86904625,19149
2020-06-18,1592438400,9453.1,9480.0,9268.2,9381.5,9387.1,3652.89691828,15791
2020-06-19,1592524800,9381.5,9439.7,9219.9,9302.1,9323.4,4506.12586124,17317
2020-06-20,1592611200,9301.2,9394.9,9165.0,9355.6,9294.5,2127.73045817,9012
2020-06-21,1592697600,9357.0,9416.9,9280.0,9284.7,9345.1,2014.19981502,6335
2020-06-22,1592784000,9284.7,9780.0,9275.0,9694.0,9551.7,5237.81344337,16812
2020-06-23,1592870400,9694.0,9721.3,9575.8,9622.3,9639.6,3628.18725463,10977
2020-06-24,1592956800,9625.5,9661.7,9200.0,9282.0,9381.6,5937.38256752,20155
2020-06-25,1593043200,9290.6,9337.5,8992.4,9233.5,9199.6,6244.4004857,17402
2020-06-26,1593129600,9238.0,9285.0,9028.6,9150.3,9162.1,5297.7242864,14564
2020-06-27,1593216000,9153.0,9183.3,8812.8,9002.0,9016.3,4249.82947999,13967
